"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Julius Erving","PHI","29:00","6","15","0","0","6","7","3","0","3","2","2","1","2","2","18",".400","",".857"
"Eddie Johnson","ATL","28:00","7","12","0","0","2","3","1","1","2","2","1","0","3","1","16",".583","",".667"
"Artis Gilmore","CHI","22:00","5","7","0","0","1","2","1","5","6","2","0","1","0","4","11",".714","",".500"
"Reggie Theus","CHI","19:00","4","7","0","0","0","0","0","1","1","3","2","0","4","0","8",".571","",""
"Larry Bird","BOS","18:00","1","5","0","0","0","0","1","3","4","3","1","0","2","1","2",".200","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Robert Parish","BOS","25:00","5","18","0","0","6","6","6","4","10","2","0","2","1","3","16",".278","","1.000"
"Tiny Archibald","BOS","25:00","4","7","0","0","1","3","0","5","5","9","3","0","2","3","9",".571","",".333"
"Micheal Ray Richardson","NYK","24:00","5","7","0","1","1","2","2","3","5","3","4","0","2","3","11",".714",".000",".500"
"Marques Johnson","MIL","19:00","1","2","0","0","5","6","1","3","4","2","0","0","0","2","7",".500","",".833"
"Bobby Jones","PHI","16:00","5","11","0","0","1","1","1","3","4","0","1","1","0","2","11",".455","","1.000"
"Mike Mitchell","CLE","15:00","6","12","0","0","2","2","4","0","4","2","1","0","1","2","14",".500","","1.000"
"Team Totals","","240","49","103","0","1","25","32","20","28","48","30","15","5","17","23","123",".476",".000",".781"
